gisjoin,year,state,statea,areaname,totblkpop,ncnatives,ncperblkpop,msperblkpop,statenativeper,othernativeper,alabama,arkansas,california,colorado,connecticut,delaware,florida,georgia,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,nebraska,nevada,new hampshire,new jersey,new york,north carolina,ohio,oregon,pennsylvania,rhode island,south carolina,tennessee,texas,vermont,virginia,west virginia,wisconsin,alaska,arizona,dakota,district of columbia,idaho,indian territory,montana,new mexico,utah,washington,wyoming,born at sea
G360,1880,New York,360,New York,64175,1237,0.019275419,0.000934944,0.695582392,0.285142189,91,17,20,1,626,296,153,608,23,13,11,10,149,191,46,2484,391,42,3,60,40,0,5,24,1787,44639,1237,117,7,1642,105,812,109,22,141,7383,80,43,0,0,3,680,0,1,0,52,8,1,0,2
G370,1880,North Carolina,370,North Carolina,532458,515912,0.968925249,0.000462008,0.968925249,0.031074751,250,16,1,0,4,9,48,500,2,4,0,2,55,49,6,193,22,3,1,246,13,0,0,1,4,37,515912,36,0,41,17,5963,306,38,72,8289,100,167,0,0,0,42,0,1,0,0,0,0,5,3
G390,1880,Ohio,390,Ohio,79537,2485,0.031243321,0.006688711,0.558017024,0.410739656,366,89,2,3,32,33,25,374,102,606,34,60,11512,263,16,761,52,227,7,532,212,0,0,4,47,367,2485,44383,2,1132,12,419,1598,102,68,12087,1089,270,0,0,0,137,1,8,1,5,0,9,0,3
G410,1880,Oregon,410,Oregon,2122,0,0,0.000471254,0.890197926,0.109802074,2,2,60,3,1,2,0,2,1,1,0,0,8,4,0,10,10,2,0,1,19,1,2,0,2,9,0,2,1889,5,0,2,7,1,0,14,1,0,0,0,0,4,7,3,3,10,4,28,0,0
G420,1880,Pennsylvania,420,Pennsylvania,85109,588,0.006908788,0.00064623,0.649531777,0.343559436,71,11,15,1,78,4668,59,222,31,30,5,7,176,110,19,8913,121,42,1,55,39,1,6,34,1737,684,588,350,1,55281,40,480,118,20,8,10101,436,7,0,1,7,528,1,2,2,2,0,0,0,0
G440,1880,Rhode Island,440,Rhode Island,6430,126,0.019595645,0.000622084,0.498133748,0.482270607,4,2,6,0,270,70,21,28,4,2,0,0,15,24,11,596,294,2,1,4,3,0,0,9,78,321,126,6,0,190,3203,63,2,5,10,876,7,7,0,0,0,170,0,0,0,0,0,0,0,0
G450,1880,South Carolina,450,South Carolina,604240,6882,0.011389514,0.00026976,0.974478684,0.014131802,357,19,1,0,7,2,250,3885,0,1,0,1,48,40,4,205,18,3,1,163,7,0,0,0,8,59,6882,17,1,43,4,588819,130,12,3,3163,6,52,0,0,0,28,0,0,1,0,0,0,0,0
G470,1880,Tennessee,470,Tennessee,403421,9383,0.023258581,0.026136468,0.838907742,0.137833677,7085,1056,1,0,12,5,97,7938,94,52,16,57,6637,655,2,642,25,23,14,10544,759,0,0,0,15,179,9383,193,1,79,2,4271,338433,305,33,14482,45,67,0,3,0,158,0,10,2,1,1,15,7,22
G480,1880,Texas,480,Texas,393477,6800,0.017281823,0.032248391,0.710445591,0.272272585,20313,5154,8,4,14,29,783,14239,111,104,18,65,4892,11768,37,1498,45,38,35,12689,3194,0,0,1,37,140,6800,186,2,216,14,7075,10434,279544,8,13328,60,17,0,6,0,138,4,408,0,11,1,2,5,2
G495,1880,Utah Territory,495,Utah Territory,1011,3,0.002967359,0.009891197,0.859545005,0.137487636,4,2,4,0,3,0,0,4,2,3,0,1,14,2,0,1,0,4,0,10,16,0,2,0,1,7,3,3,0,0,1,1,2,2,0,13,0,1,0,16,0,1,1,1,7,1,869,0,9,0
G500,1880,Vermont,500,Vermont,1046,8,0.007648184,0.005736138,0.070745698,0.921606119,0,1,0,0,11,0,4,2,0,0,0,0,0,5,3,16,65,0,0,6,1,0,0,20,5,118,8,2,0,5,2,9,5,0,668,74,3,4,0,0,0,8,0,1,0,0,0,0,0,0
G510,1880,Virginia,510,Virginia,631621,9349,0.014801598,0.000223235,0.97942912,0.005769283,103,14,0,0,12,11,40,173,10,12,0,4,87,76,3,1333,23,3,0,141,14,0,0,1,21,188,9349,49,6,103,12,239,394,31,0,618628,149,68,0,1,0,318,0,5,0,0,0,0,0,0
G535,1880,Washington Territory,535,Washington Territory,4417,2,0.000452796,0.000226398,0.947022866,0.052524338,0,1,17,1,0,1,0,2,1,0,0,0,1,3,0,2,3,0,0,1,3,0,0,0,1,6,2,40,52,3,0,0,2,0,0,7,0,0,0,7,1,4,0,73,0,0,0,4183,0,0
G540,1880,West Virginia,540,West Virginia,25883,108,0.004172623,0.000424989,0.600664529,0.395162848,5,3,1,0,2,0,6,27,3,4,0,0,89,14,0,271,3,5,0,11,8,0,0,0,2,12,108,276,0,148,0,38,20,4,2,9239,15547,11,0,0,0,24,0,0,0,0,0,0,0,0
G550,1880,Wisconsin,550,Wisconsin,5772,29,0.005024255,0.005370755,0.821032571,0.173943174,38,13,0,0,9,1,3,26,62,21,5,0,94,14,1,25,2,25,30,31,57,1,1,1,5,186,29,44,0,25,3,18,101,1,1,147,2,4739,0,0,2,7,0,0,0,0,0,0,1,1
G565,1880,Wyoming Territory,565,Wyoming Territory,430,5,0.011627907,0.004651163,0.458139535,0.530232558,3,2,3,1,0,1,1,1,4,3,3,9,35,2,0,5,0,1,2,2,55,7,0,0,0,2,5,5,1,6,0,3,12,2,0,27,0,0,0,1,9,4,6,3,0,0,7,0,197,0
