gisjoin,year,state,statea,areaname,totblkpop,ncnatives,ncperblkpop,kyperblkpop,msperblkpop,statenativeper,alabama,arkansas,california,connecticut,delaware,florida,georgia,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,nebraska,nevada,new hampshire,new jersey,new york,north carolina,ohio,oregon,pennsylvania,rhode island,south carolina,tennessee,texas,vermont,va and wva,wisconsion,alaska territory,arizona territory,colorado territory,dakota territory,district of columbia,idaho territory,indian territory,montana territory,new mexico territory,utah territory,washington territory,wyoming territory,born at sea,native born_place not stated
G260,1870,Michigan,260,Michigan,10688,417,0.039015719,0.097679641,0.004865269,0.361152695,96,13,1,30,72,20,87,70,779,8,8,1044,47,10,203,36,3860,2,52,126,0,0,1,46,438,417,1167,0,295,5,117,343,0,11,1193,28,0,0,0,0,48,0,0,0,2,0,0,0,0,13
G270,1870,Minnesota,270,Minnesota,751,33,0.043941411,0.101198402,0.059920107,0.153129161,46,9,0,3,1,0,13,17,15,14,1,76,15,1,8,5,6,115,45,88,0,0,0,2,21,33,32,0,20,0,12,44,2,4,81,13,0,0,0,0,6,0,0,0,0,0,0,0,0,3
G280,1870,Mississippi,280,Mississippi,444007,14511,0.032681917,0.01319799,0.719267939,0.719267939,22192,1016,6,5,13,325,12713,64,29,3,3,5860,4819,15,2677,11,6,1,319360,1565,1,0,5,8,61,14511,98,0,69,5,16604,13284,433,13,27713,28,0,0,0,0,208,0,11,1,0,1,0,0,0,270
G290,1870,Missouri,290,Missouri,117995,1111,0.009415653,0.086901987,0.011653036,0.72461545,821,1117,6,9,26,47,464,292,84,73,150,10254,933,4,674,37,75,11,1375,85501,3,1,3,12,69,1111,502,1,269,7,407,3858,497,5,9098,21,0,0,2,1,53,3,19,0,12,0,0,0,0,88
G305,1870,Montana Territory,305,Montana Territory,175,2,0.011428571,0.142857143,0,0.085714286,1,0,0,1,0,2,1,0,2,2,2,25,7,2,5,2,0,0,0,52,1,0,1,0,7,2,2,0,14,0,3,5,0,0,16,0,0,0,0,0,4,1,0,15,0,0,0,0,0,0
G310,1870,Nebraska,310,Nebraska,782,18,0.023017903,0.116368286,0.02173913,0.067774936,11,6,0,2,1,1,17,15,5,4,15,91,7,0,17,0,4,0,17,271,53,0,0,0,5,18,20,0,27,0,16,43,0,1,100,0,0,0,0,0,8,0,0,0,0,1,0,0,0,6
G320,1870,Nevada,320,Nevada,328,10,0.030487805,0.054878049,0.00304878,0.094512195,8,3,20,10,1,1,3,3,1,0,0,18,13,4,45,9,1,0,1,18,0,31,0,3,18,10,8,0,22,0,9,9,3,0,47,2,0,0,0,0,6,0,0,0,1,0,0,0,0,0
G330,1870,New Hampshire,330,New Hampshire,562,13,0.023131673,0.005338078,0.001779359,0.585409253,0,0,0,0,1,1,11,0,0,0,0,3,2,8,15,24,0,0,1,0,0,0,329,0,6,13,0,0,4,0,21,6,0,13,94,1,0,0,0,0,5,0,0,0,0,0,0,0,0,4
G340,1870,New Jersey,340,New Jersey,30548,180,0.005892366,0.000752913,0.000294618,0.734679848,22,1,6,79,1623,29,87,2,3,0,0,23,35,7,1493,60,2,0,9,9,0,0,7,22443,1182,180,17,0,1545,8,132,24,4,1,1427,0,0,0,0,0,76,0,1,0,0,0,0,0,1,10
G355,1870,New Mexico Territory,355,New Mexico Territory,167,4,0.023952096,0.137724551,0.011976048,0.341317365,7,2,0,0,0,0,7,0,0,0,0,23,3,0,3,0,0,1,2,18,0,0,0,1,4,4,4,0,1,0,1,5,7,1,12,0,0,0,0,0,4,0,0,0,57,0,0,0,0,0
