GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AOT001,APP001,APP002,APP003,APP004,AP3001,AP3002,AP3003,AP3004,AP3005,AP3006,AP3007,AP3008,AP3009,AP3010,AP3011,AP3012,AP3013,AP3014,AP3015,AP3016,AP3017,AP3018,AP3019,AP3020,AP3021,AP3022,AP3023,AP3024,AP3025,AP3026,AP3027,AP3028,AP3029,AP3030,AP3031,AP3032,AP3033,AP3034,AP3035,AP3036,AP3037,AP3038,AP3039,AP3040,AP3041,AP3042,AP3043,AP3044,AP3045,AP3046,AP3047,AP3048,AP3049,AP3050,AP3051,AP3052,AP3053,AP3054,AP3055,AP3056,AP3057,AP3058,AP3059,AP3060,AP3061,AP3062,AP3063,AP3064,AP3065,AP3066,AP3067,AP3068,AP3069,AP3070,AP3071,AP3072,AP3073,AP3074,AP3075,AP3076,AP4001,AP4002
G3700041,1880,North Carolina,370,Forsyth,670,Forsyth,18070,13441,4629,0,0,9,,,,,,,18,,,,,,,,9,,,6,,,,,,,8,17408,,,28,,24,21,,,402,,,,,,,,,,,,,,,17408,,,,,9,,,,0,11,1,23,0,,4,,,,,,0,,0,1,,18003,67
G3700042,1880,North Carolina,370,Franklin,690,Franklin,20829,9476,11353,0,0,9,,,,,,,15,,,,,,,,0,,,7,,,,,,,3,20600,,,7,,10,10,,,132,,,,,,,,,,,,,,,20600,,,,,0,,,,0,3,0,2,0,,2,,,,,,0,,0,1,,20820,9
G3700043,1880,North Carolina,370,Gaston,710,Gaston,14254,10188,4066,0,0,5,,,,,,,41,,,,,,,,1,,,7,,,,,,,3,13151,,,12,,856,16,,,36,,,,,,,,,,,,,,,13151,,,,,3,,,,0,14,0,8,0,,22,,,,,,1,,0,0,,14200,54
G3700044,1880,North Carolina,370,Gates,730,Gates,8897,4973,3924,0,0,0,,,,,,,5,,,,,,,,3,,,1,,,,,,,0,8648,,,0,,0,1,,,224,,,,,,,,,,,,,,,8648,,,,,0,,,,0,0,0,2,0,,2,,,,,,0,,0,0,,8893,4
G3700045,1880,North Carolina,370,Graham,750,Graham,2335,2123,23,0,189,5,,,,,,,79,,,,,,,,1,,,0,,,,,,,1,1867,,,1,,26,314,,,9,,,,,,,,,,,,,,,1867,,,,,0,,,,0,0,0,0,0,,0,,,,,,0,,0,0,,2332,3
G3700046,1880,North Carolina,370,Granville,770,Granville,31286,13603,17679,0,4,17,,,,,,,23,,,,,,,,18,,,16,,,,,,,14,29472,,,3,,13,21,,,1480,,,,,,,,,,,,,,,29472,,,,,68,,,,21,3,2,5,0,,11,,,,,,8,,0,0,,31163,123
G3700047,1880,North Carolina,370,Greene,790,Greene,10037,4652,5385,0,0,3,,,,,,,0,,,,,,,,3,,,2,,,,,,,0,10004,,,0,,2,2,,,13,,,,,,,,,,,,,,,10004,,,,,0,,,,0,0,0,0,0,,1,,,,,,0,,1,4,,10031,6
G3700048,1880,North Carolina,370,Guilford,810,Guilford,23585,16885,6700,0,0,2,,,,,,,10,,,,,,,,16,,,10,,,,,,,33,22631,,,38,,34,19,,,447,,,,,,,,,,,,,,,22631,,,,,74,,,,0,62,1,29,0,,11,,,,,,11,,1,0,,23388,197
G3700049,1880,North Carolina,370,Halifax,830,Halifax,30300,9137,21162,0,1,19,,,,,,,14,,,,,,,,17,,,18,,,,,,,12,29159,,,9,,10,11,,,879,,,,,,,,,,,,,,,29159,,,,,1,,,,1,11,1,15,0,,12,,,,,,6,,0,1,,30239,61
G3700050,1880,North Carolina,370,Harnett,850,Harnett,10862,7092,3770,0,0,0,,,,,,,1,,,,,,,,1,,,3,,,,,,,1,10802,,,0,,10,1,,,5,,,,,,,,,,,,,,,10802,,,,,6,,,,0,2,0,0,0,,2,,,,,,15,,0,0,,10836,26
G3700051,1880,North Carolina,370,Haywood,870,Haywood,10271,9787,484,0,0,8,,,,,,,66,,,,,,,,1,,,2,,,,,,,3,9449,,,2,,362,318,,,35,,,,,,,,,,,,,,,9449,,,,,0,,,,0,3,0,0,0,,1,,,,,,0,,0,0,,10267,4
G3700052,1880,North Carolina,370,Henderson,890,Henderson,10281,8893,1388,0,0,24,,,,,,,32,,,,,,,,11,,,0,,,,,,,1,9241,,,10,,733,93,,,31,,,,,,,,,,,,,,,9241,,,,,2,,,,3,8,0,7,1,,9,,,,,,18,,0,1,,10223,58
G3700053,1880,North Carolina,370,Hertford,910,Hertford,11843,5122,6721,0,0,2,,,,,,,1,,,,,,,,8,,,4,,,,,,,7,11248,,,5,,4,5,,,537,,,,,,,,,,,,,,,11248,,,,,0,,,,0,5,0,3,0,,1,,,,,,0,,0,0,,11832,11
G3700054,1880,North Carolina,370,Hyde,950,Hyde,7765,4424,3341,0,0,0,,,,,,,0,,,,,,,,5,,,0,,,,,,,1,7713,,,1,,1,0,,,11,,,,,,,,,,,,,,,7713,,,,,0,,,,0,10,0,0,0,,3,,,,,,3,,1,0,,7744,21
G3700055,1880,North Carolina,370,Iredell,970,Iredell,22675,16752,5913,0,10,7,,,,,,,35,,,,,,,,16,,,19,,,,,,,33,22171,,,14,,114,20,,,149,,,,,,,,,,,,,,,22171,,,,,2,,,,1,10,1,14,0,,7,,,,,,1,,1,1,,22634,41
G3700056,1880,North Carolina,370,Jackson,990,Jackson,7343,6591,375,0,377,4,,,,,,,157,,,,,,,,1,,,2,,,,,,,1,6613,,,1,,384,122,,,19,,,,,,,,,,,,,,,6613,,,,,0,,,,1,5,0,2,0,,1,,,,,,0,,1,0,,7331,12
G3700057,1880,North Carolina,370,Johnston,1010,Johnston,23461,15996,7465,0,0,10,,,,,,,3,,,,,,,,5,,,16,,,,,,,8,23292,,,1,,26,1,,,46,,,,,,,,,,,,,,,23292,,,,,5,,,,0,7,0,2,0,,10,,,,,,1,,0,3,,23428,33
G3700058,1880,North Carolina,370,Jones,1030,Jones,7491,3212,4279,0,0,4,,,,,,,4,,,,,,,,0,,,2,,,,,,,1,7470,,,0,,2,0,,,3,,,,,,,,,,,,,,,7470,,,,,0,,,,0,0,0,0,0,,1,,,,,,0,,0,0,,7490,1
G3700059,1880,North Carolina,370,Lenoir,1070,Lenoir,15344,7277,8067,0,0,3,,,,,,,25,,,,,,,,4,,,4,,,,,,,4,15207,,,4,,22,6,,,35,,,,,,,,,,,,,,,15207,,,,,2,,,,0,4,0,5,0,,1,,,,,,1,,0,1,,15328,16
G3700060,1880,North Carolina,370,Lincoln,1090,Lincoln,11061,8180,2881,0,0,22,,,,,,,12,,,,,,,,5,,,6,,,,,,,2,10823,,,2,,104,10,,,33,,,,,,,,,,,,,,,10823,,,,,0,,,,0,7,1,1,0,,2,,,,,,0,,0,0,,11049,12
G3700061,1880,North Carolina,370,McDowell,1110,Mcdowell,9836,7939,1897,0,0,6,,,,,,,12,,,,,,,,3,,,2,,,,,,,6,9611,,,7,,66,32,,,22,,,,,,,,,,,,,,,9611,,,,,0,,,,0,0,0,5,0,,4,,,,,,0,,0,12,,9813,23
G3700062,1880,North Carolina,370,Macon,1130,Macon,8064,7395,656,0,13,4,,,,,,,426,,,,,,,,1,,,1,,,,,,,20,7092,,,11,,176,205,,,44,,,,,,,,,,,,,,,7092,,,,,1,,,,0,11,0,1,0,,4,,,,,,1,,0,3,,8043,21
G3700063,1880,North Carolina,370,Madison,1150,Madison,12810,12351,459,0,0,9,,,,,,,33,,,,,,,,0,,,4,,,,,,,4,11651,,,2,,287,672,,,70,,,,,,,,,,,,,,,11651,,,,,2,,,,0,1,0,0,0,,4,,,,,,2,,0,0,,12797,13
G3700064,1880,North Carolina,370,Martin,1170,Martin,13140,6661,6479,0,0,1,,,,,,,2,,,,,,,,3,,,3,,,,,,,4,12988,,,8,,9,3,,,86,,,,,,,,,,,,,,,12988,,,,,2,,,,0,3,0,4,0,,15,,,,,,0,,1,0,,13115,25
G3700065,1880,North Carolina,370,Mecklenburg,1190,Mecklenburg,34175,17922,16241,0,12,43,,,,,,,183,,,,,,,,40,,,43,,,,,,,54,30185,,,69,,2572,81,,,453,,,,,,,,,,,,,,,30185,,,,,9,,,,0,95,7,90,0,,47,,,,,,29,,0,4,,33869,306
G3700066,1880,North Carolina,370,Mitchell,1210,Mitchell,9435,8932,503,0,0,0,,,,,,,16,,,,,,,,4,,,0,,,,,,,6,8889,,,4,,54,387,,,37,,,,,,,,,,,,,,,8889,,,,,4,,,,0,1,0,1,0,,1,,,,,,0,,0,0,,9427,8
G3700067,1880,North Carolina,370,Montgomery,1230,Montgomery,9374,6857,2517,0,0,2,,,,,,,3,,,,,,,,1,,,4,,,,,,,0,9290,,,2,,26,13,,,7,,,,,,,,,,,,,,,9290,,,,,0,,,,0,1,0,1,0,,2,,,,,,2,,0,0,,9362,12
G3700068,1880,North Carolina,370,Moore,1250,Moore,16821,11485,5332,0,4,4,,,,,,,9,,,,,,,,2,,,5,,,,,,,2,16644,,,5,,29,16,,,31,,,,,,,,,,,,,,,16644,,,,,1,,,,0,6,0,2,0,,5,,,,,,32,,0,0,,16768,53
G3700069,1880,North Carolina,370,Nash,1270,Nash,17731,9417,8314,0,0,5,,,,,,,5,,,,,,,,0,,,1,,,,,,,4,17550,,,10,,22,1,,,104,,,,,,,,,,,,,,,17550,,,,,3,,,,0,4,0,5,0,,1,,,,,,0,,0,0,,17718,13
G3700070,1880,North Carolina,370,New Hanover,1290,New Hanover,21376,8159,13217,0,0,28,,,,,,,64,,,,,,,,59,,,40,,,,,,,98,19448,,,79,,411,17,,,304,,,,,,,,,,,,,,,19448,,,,,28,,,,5,50,6,287,1,,114,,,,,,29,,7,1,,20818,558
G3700071,1880,North Carolina,370,Northampton,1310,Northampton,20032,7987,12045,0,0,5,,,,,,,3,,,,,,,,2,,,2,,,,,,,1,19331,,,4,,12,3,,,635,,,,,,,,,,,,,,,19331,,,,,0,,,,0,3,0,1,0,,0,,,,,,0,,0,0,,20026,6
G3700072,1880,North Carolina,370,Onslow,1330,Onslow,9829,6600,3229,0,0,8,,,,,,,10,,,,,,,,0,,,4,,,,,,,6,9742,,,1,,7,4,,,14,,,,,,,,,,,,,,,9742,,,,,0,,,,0,3,0,7,0,,2,,,,,,0,,0,0,,9815,14
G3700073,1880,North Carolina,370,Orange,1350,Orange,23698,14555,9143,0,0,15,,,,,,,18,,,,,,,,12,,,8,,,,,,,16,23267,,,18,,51,23,,,156,,,,,,,,,,,,,,,23267,,,,,9,,,,3,3,0,12,0,,2,,,,,,1,,0,0,,23658,40
G3700074,1880,North Carolina,370,Pamlico,1370,Pamlico,6323,4207,2116,0,0,0,,,,,,,1,,,,,,,,14,,,1,,,,,,,3,6249,,,0,,2,0,,,22,,,,,,,,,,,,,,,6249,,,,,0,,,,3,1,0,2,0,,1,,,,,,0,,1,0,,6314,9
G3700075,1880,North Carolina,370,Pasquotank,1390,Pasquotank,10369,4855,5514,0,0,4,,,,,,,0,,,,,,,,20,,,4,,,,,,,19,10031,,,95,,2,0,,,133,,,,,,,,,,,,,,,10031,,,,,6,,,,2,5,1,14,0,,5,,,,,,0,,0,0,,10333,36
G3700076,1880,North Carolina,370,Pender,1410,Pender,12468,5509,6957,0,2,1,,,,,,,5,,,,,,,,2,,,1,,,,,,,0,12384,,,2,,13,1,,,18,,,,,,,,,,,,,,,12384,,,,,0,,,,2,4,1,7,0,,4,,,,,,4,,0,0,,12445,23
G3700077,1880,North Carolina,370,Perquimans,1430,Perquimans,9466,4795,4671,0,0,0,,,,,,,1,,,,,,,,6,,,1,,,,,,,3,9348,,,3,,1,1,,,62,,,,,,,,,,,,,,,9348,,,,,0,,,,0,1,0,0,0,,0,,,,,,0,,0,0,,9464,2
G3700078,1880,North Carolina,370,Person,1450,Person,13719,7206,6513,0,0,7,,,,,,,5,,,,,,,,3,,,2,,,,,,,0,12820,,,0,,10,12,,,837,,,,,,,,,,,,,,,12820,,,,,0,,,,0,0,1,2,0,,0,,,,,,0,,0,0,,13715,4
G3700079,1880,North Carolina,370,Pitt,1470,Pitt,21794,10704,11088,0,2,2,,,,,,,7,,,,,,,,6,,,3,,,,,,,5,21675,,,1,,5,2,,,47,,,,,,,,,,,,,,,21675,,,,,0,,,,0,1,0,13,0,,4,,,,,,1,,0,0,,21774,20
G3700080,1880,North Carolina,370,Polk,1490,Polk,5062,3918,1144,0,0,10,,,,,,,10,,,,,,,,1,,,0,,,,,,,2,4312,,,17,,666,17,,,12,,,,,,,,,,,,,,,4312,,,,,0,,,,0,3,0,2,0,,0,,,,,,0,,0,0,,5056,6
G3700081,1880,North Carolina,370,Randolph,1510,Randolph,20836,17758,3078,0,0,1,,,,,,,8,,,,,,,,2,,,5,,,,,,,1,20705,,,3,,14,8,,,30,,,,,,,,,,,,,,,20705,,,,,0,,,,0,2,0,3,0,,0,,,,,,2,,0,0,,20828,8
G3700082,1880,North Carolina,370,Richmond,1530,Richmond,18245,8141,10104,0,0,16,,,,,,,18,,,,,,,,18,,,18,,,,,,,12,16759,,,5,,1176,3,,,142,,,,,,,,,,,,,,,16759,,,,,1,,,,1,8,3,2,0,,8,,,,,,31,,0,0,,18185,60
G3700083,1880,North Carolina,370,Robeson,1550,Robeson,23880,11942,11938,0,0,21,,,,,,,15,,,,,,,,5,,,14,,,,,,,0,22813,,,8,,818,3,,,72,,,,,,,,,,,,,,,22813,,,,,3,,,,0,4,0,8,0,,6,,,,,,22,,1,0,,23831,49
G3700084,1880,North Carolina,370,Rockingham,1570,Rockingham,21744,12431,9313,0,0,5,,,,,,,15,,,,,,,,16,,,5,,,,,,,31,19745,,,21,,20,23,,,1732,,,,,,,,,,,,,,,19745,,,,,16,,,,0,6,0,12,0,,5,,,,,,16,,2,0,,21673,71
G3700085,1880,North Carolina,370,Rowan,1590,Rowan,19965,13621,6339,0,5,4,,,,,,,21,,,,,,,,12,,,12,,,,,,,16,19574,,,17,,78,15,,,110,,,,,,,,,,,,,,,19574,,,,,0,,,,0,21,0,8,0,,3,,,,,,9,,0,0,,19923,42
G3700086,1880,North Carolina,370,Rutherford,1610,Rutherford,15198,11910,3255,0,33,2,,,,,,,32,,,,,,,,3,,,0,,,,,,,6,14575,,,0,,470,41,,,40,,,,,,,,,,,,,,,14575,,,,,0,,,,0,2,1,0,0,,2,,,,,,1,,0,0,,15183,15
G3700087,1880,North Carolina,370,Sampson,1630,Sampson,22894,13347,9540,0,7,1,,,,,,,5,,,,,,,,4,,,3,,,,,,,2,22782,,,1,,17,5,,,38,,,,,,,,,,,,,,,22782,,,,,1,,,,1,1,0,9,0,,4,,,,,,1,,0,1,,22872,22
G3700088,1880,North Carolina,370,Stanly,1670,Stanly,10505,9166,1339,0,0,0,,,,,,,2,,,,,,,,1,,,0,,,,,,,2,10463,,,0,,25,1,,,1,,,,,,,,,,,,,,,10463,,,,,0,,,,0,0,1,0,0,,1,,,,,,0,,0,0,,10503,2
G3700089,1880,North Carolina,370,Stokes,1690,Stokes,15353,11730,3623,0,0,1,,,,,,,5,,,,,,,,3,,,0,,,,,,,1,14029,,,1,,8,17,,,1257,,,,,,,,,,,,,,,14029,,,,,0,,,,0,2,0,0,0,,2,,,,,,0,,0,0,,15349,4
G3700090,1880,North Carolina,370,Surry,1710,Surry,15302,13227,2075,0,0,5,,,,,,,11,,,,,,,,3,,,0,,,,,,,1,14078,,,7,,14,36,,,1098,,,,,,,,,,,,,,,14078,,,,,2,,,,0,1,0,1,0,,1,,,,,,0,,0,0,,15294,8
G3700091,1880,North Carolina,370,Swain,1730,Swain,3784,3234,109,0,441,2,,,,,,,68,,,,,,,,0,,,0,,,,,,,0,3492,,,0,,69,132,,,9,,,,,,,,,,,,,,,3492,,,,,0,,,,0,0,0,0,0,,0,,,,,,0,,0,0,,3784,0
G3700092,1880,North Carolina,370,Transylvania,1750,Transylvania,5340,4823,517,0,0,4,,,,,,,60,,,,,,,,1,,,1,,,,,,,1,4383,,,1,,799,27,,,16,,,,,,,,,,,,,,,4383,,,,,1,,,,0,11,0,3,0,,2,,,,,,4,,0,0,,5319,21
